,left_ax
24361,0.1766491
24362,-0.02806538
24363,-0.19958164
24364,-0.27163517
24365,-0.24689272
24366,-0.14024773
24367,-0.083855994
24368,-0.06450657
24369,-0.060280386
24370,-0.054279014
24371,-0.039539542
24372,-0.026658649
24373,-0.08390494
24374,-0.12929857
24375,-0.12761885
24376,-0.09373639
24377,-0.10248505
24378,-0.102887526
24379,-0.07527878
24380,-0.05248769
24381,-0.04448868
24382,-0.04737139
24383,-0.05059086
24384,-0.031252503
24385,0.002040821
24386,0.010287563
24387,0.0023384127
24388,0.022300549
24389,0.08428984
24390,0.08482633
24391,0.0659021
24392,0.08341755
24393,0.13161343
24394,0.12091803
24395,0.000992742
24396,-0.10169184
24397,-0.19306424
24398,-0.25849864
24399,-0.27344733
24400,-0.20662771
24401,-0.045629367
24402,0.23283648
24403,0.3238325
24404,0.20652063
24405,0.07139858
24406,0.16234863
24407,-0.058476325
24408,-0.35036594
24409,-0.43363553
24410,-0.26327127
24411,-0.080580525
24412,-0.33937863
24413,-0.31046224
24414,-0.1835659
24415,-0.18922608
24416,-0.36544132
24417,-0.374296
24418,-0.32720628
24419,-0.4157619000000001
24420,-0.45971084
24421,-0.44623727
24422,-0.44909656
24423,-0.5183152
24424,-0.58226687
24425,-0.551308
24426,-0.5144124
24427,-0.46069404
24428,-0.3281092
24429,-0.47501636
24430,-0.30919072
24431,-0.35172302
24432,-0.4040107
24433,-0.30279398
24434,-0.17713267
24435,-0.07892843
24436,-0.062474098
24437,-0.08445064
24438,-0.10714362
24439,-0.1077578
24440,-0.09608572
24441,-0.14755847
24442,-0.25914362
24443,-0.3940509
24444,-0.52688164
24445,-0.64477056
24446,-0.73693764
24447,-0.8080883000000001
24448,-0.8611421999999999
24449,-0.9043512
24450,-0.94248456
24451,-0.97377515
24452,-0.98786217
24453,-1.0029616
24454,-1.0197641
24455,-1.0285081
24456,-1.0248048
24457,-1.02239
24458,-1.0167959
24459,-1.0092899
24460,-0.9976173
24461,-0.98101443
24462,-0.9609327
24463,-0.94362617
24464,-0.9199902
24465,-0.8946939
24466,-0.87106043
24467,-0.85053504
24468,-0.8322280999999999
24469,-0.80673283
24470,-0.7871541999999999
24471,-0.7719369
24472,-0.7589394
24473,-0.7454145999999999
24474,-0.7274887
24475,-0.7147213000000001
24476,-0.7032082
24477,-0.6907288
24478,-0.6760892
24479,-0.65936834
24480,-0.6430354
24481,-0.6263824
24482,-0.607819
24483,-0.58845896
24484,-0.5697838000000001
24485,-0.54867053
24486,-0.52684087
24487,-0.501167
24488,-0.47367826
24489,-0.44654906
24490,-0.420656
24491,-0.39715305
24492,-0.3807498
24493,-0.37210485
24494,-0.37135804
24495,-0.37892616
24496,-0.40083617
24497,-0.4258855
24498,-0.4518981
24499,-0.47768164
24500,-0.5034181999999999
24501,-0.5317021
24502,-0.5568779
24503,-0.58287054
24504,-0.6058175
24505,-0.6247801
24506,-0.64079386
24507,-0.64796424
24508,-0.65208745
24509,-0.65144
24510,-0.64634097
24511,-0.63760734
24512,-0.625258
24513,-0.6140429000000001
24514,-0.59769017
24515,-0.5816866
24516,-0.5697376999999999
24517,-0.5625432
24518,-0.5609333000000001
24519,-0.5579351
24520,-0.55785435
24521,-0.56844527
24522,-0.5874113000000001
24523,-0.59553987
24524,-0.61002934
24525,-0.62613004
24526,-0.63932025
24527,-0.6479229000000001
24528,-0.65203345
24529,-0.6524359000000001
24530,-0.64595616
24531,-0.6432696
24532,-0.64248466
24533,-0.64095
